S_NO,VEHICLE_NO,IMEI1,IMEI2,ICCID,MDT_NUMBER,VEHICLE_TYPE,RO,PIU,TOLL_NAME
1,UP65FT1494,350284942432317,350776872432316,8991102406368010000,5754226699016,patrol vehicle,Varanasi,Varanasi,Baiti Kala Toll Plaza
2,UP65NT5139,350284942757079,#N/A,8991102406368010000,5754226699013,ambulance,Varanasi-UP East,Varanasi,Hauj Toll Plaza
3,UP65PT7164,350284942426822,350776872426821,8991102406368010000,5754226699017,ambulance,Varanasi-UP East,Varanasi,Baiti Kala Toll Plaza
4,UP65ET3721,350284942768546,350776872768545,8991102406368010000,5754226699015,crane,Varanasi-UP East,Varanasi,Hauj Toll Plaza
5,UP65FT1482,350284942768512,350776872768511,8991102406368010000,5754226699014,patrol vehicle,Varanasi-UP East,Varanasi,Hauj Toll Plaza
6,UP65ET3727,350284942431996,350776872431995,8991102406368010000,5754226699018,crane,Varanasi-UP East,Varanasi,Baiti Kala Toll Plaza
7,UP65ET3730,350284942426327,350776872426326,8991102406368010000,5754226699023,crane,Varanasi-UP East,Varanasi,Amora Moiddinpur
8,UP65GT0441,350284942433026,350776872433025,8991102406368010000,5754226699019,patrol vehicle,Varanasi-UP East,Varanasi,Dherahi Toll Plaza
9,UP65ET3728,350284942429115,350776872429114,8991102406368010000,5754226699020,crane,Varanasi-UP East,Varanasi,Dherahi Toll Plaza
10,UP65NT5138,350284942426004,350776872426003,8991102406368010000,5754226699022,ambulance,Varanasi-UP East,Varanasi,Amora Moiddinpur
11,UP65ET0994,350284942425782,350776872425781,8991102406368010000,5754226699021,patrol vehicle,Varanasi-UP East,Varanasi,Amora Moiddinpur
12,UP32GN9318,350284942426087,350776872426086,8991102406368010000,5754226699061,Crane,Varanasi-UP East,Varanasi,Kaithi
13,UP83AT4074,350284942432390,350776872432399,8991102406368014955u,5754226699060,patrol vehicle,Varanasi-UP East,Varanasi,Kaithi
14,RJ27EA6635,350284942429206,350776872429205,,,crane,Varanasi-UP East,Varanasi,"Toll_LOC_NHAI Rest Area, Kurauna - Location"
15,UP70KT2922,350284942411501,350776872411500,,,ambulance,Varanasi-UP East,Varanasi,"Toll_LOC_NHAI Rest Area, Kurauna - Location"
16,UP41AT4372,350284942433802,350776872433801,8991102406368014658u,5754226699029,patrol vehicle,Varanasi-UP East,Varanasi,Lahangpur
17,MP04EB3234,350284942433042,350776872433041,8991102406368010000,5754226699032,ambulance,Varanasi-UP East,Mirzapur,Atraila Shiv Ghulam
18,PB13BK3344,350284942433620,350776872433629,8991102406368010000,5754226699030,crane,Varanasi-UP East,Mirzapur,Atraila Shiv Ghulam
19,PB13BH5478,350284942426129,350776872426128,8991102406368010000,5754226699028,crane,Varanasi-UP East,Varanasi,Pratappur Toll Plaza
20,UP63BT3942,350284942426103,350776872426102,8991102406368010000,5754226699027,ambulance,Varanasi-UP East,Varanasi,Pratappur Toll Plaza
21,PB13BK3089,350284942768686,350776872768685,8991102406368010000,5754226699031,crane,Varanasi-UP East,Mirzapur,Atraila Shiv Ghulam
22,UP41AT5374,350284942411519,350776872411518,8991102406368010000,5754226699062,patrol vehicle,Varanasi-UP East,Varanasi,Pratappur Toll Plaza
23,RJ11PA4860,350284942429099,350776872429098,8991102406368010000,5754226699055,ambulance,Varanasi-UP East,Varanasi,Amora Moiddinpur
24,UP50CT0633,350284942427929,350776872427928,8991102406368010000,5754226699057,crane,Varanasi-UP East,Varanasi,Amora Moiddinpur
25,RJ11PA4819,350284942768553,350776872768552,8991102406368010000,5754226699054,ambulance,Varanasi-UP East,Azamgarh,Amdi
26,UP70DT8232,350284942427929,350776872427928,8991102406368010000,5754226699058,patrol vehicle,Varanasi-UP East,Varanasi,Kaithi
27,UP86AT0707,350284942756780,350776872756789,8991102406368010000,5754226699056,patrol vehicle,Varanasi-UP East,Varanasi,Amora Moiddinpur
28,UP50DT2923,350284942415320,350776872415329,8991102406368010000,5754226699059,crane,Varanasi-UP East,Varanasi,Kaithi
29,UP82T3718,350284942415122,350776872415121,8991102406351380000,5754226677768,crane,Lucknow-UP West,Agra,Madrak
30,UP15HT6155,350284942756798,350776872756797,8991102406351380000,5754226678555,patrol vehicle,Dehradun,Roorkee,Bahadrabad
31,UK07FM7152,350284942480738,350776872480737,8991102406351380000,5754226677812,Crane,Dehradun,Roorkee,Chhapar
32,UP81DT2311,350284942397775,350776872397774,8991102406351380000,5754226677770,patrol vehicle,Lucknow-UP West,Agra,Madrak
33,UK08AE7793,350284942415411,350776872415410,8991102406351380000,5754226677781,Crane,Dehradun,Roorkee,Bahadrabad
34,UP11BT5344,350284942481322,350776872481321,8991102406351380000,5754226677811,patrol vehicle,Dehradun,Roorkee,Chhapar
35,PB65BB4486,350284942481645,350776872481644,8991102406351380000,5754226678556,ambulance,Dehradun,Roorkee,Bahadrabad
36,RJ11PA6533,350284942477635,350776872477634,8991102406351370000,5754226677664,ambulance,Jaipur,Jaipur,Hingonia
37,UP83CT3962,350284942426244,350776872426243,8991102406351370000,5754226677661,crane,Jaipur,Jaipur,Barkheda-Chandlai
